"","Name","p","t","ValueAtRandomPoints"
"280","pine",1111.1536005432,13.9116690312374,1.69789341581604e-08
"281","pine",867.151494827135,11.1153455185208,3.13866805772237e-08
"282","pine",1029.68471357811,14.8026351281423,2.29649029083429e-08
"283","pine",1274.05563993709,14.4060706081083,1.18965114873107e-08
"284","pine",954.223727074852,17.0190216692543,1.76014571624284e-08
"285","pine",1012.30314158243,11.162606435333,2.486649751873e-08
"286","pine",773.908832859217,13.1177644516977,3.47926422041273e-08
"287","pine",962.611168049447,16.3622176969272,2.79562498114589e-08
"288","pine",595.032149658639,14.733539657598,5.23682331932289e-08
"289","pine",1033.52351005566,16.9463441508548,7.94420527877275e-09
"290","pine",787.746070107635,13.5039636930297,3.61953022872357e-08
"291","pine",1299.17908781248,13.510826751824,1.19389220023758e-08
"292","pine",899.603281016734,10.3008834664717,2.13725727040405e-08
"293","pine",558.646480366198,18.7361438849273,2.12082211892657e-08
"294","pine",882.657718162422,10.8189674180065,2.8495377537783e-08
"295","pine",958.667651328053,13.5682648357214,4.05650488011737e-08
"296","pine",670.456601516006,14.5254429772155,5.0666980299392e-08
"297","pine",1028.65697199527,15.3935490106211,2.4315014094627e-08
"298","pine",1147.12116545306,12.0707072524575,1.4414889756564e-08
"299","pine",1086.81861923792,15.9164651699042,1.44002033215308e-08
